楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
12幢1单元,102室,116.51㎡,101.36㎡,87.00%,27094元/㎡,-,3156721.94元,可售
12幢1单元,201室,138.42㎡,120.42㎡,87.00%,27096元/㎡,-,3750628.32元,可售
12幢1单元,202室,125.55㎡,109.22㎡,86.99%,26331元/㎡,-,3305857.05元,可售
12幢1单元,301室,138.42㎡,120.42㎡,87.00%,27396元/㎡,-,3792154.32元,可售
12幢1单元,302室,125.55㎡,109.22㎡,86.99%,26631元/㎡,-,3343522.05元,可售
12幢1单元,401室,138.42㎡,120.42㎡,87.00%,27646元/㎡,-,3826759.32元,可售
12幢1单元,402室,125.55㎡,109.22㎡,86.99%,26881元/㎡,-,3374909.55元,可售
12幢1单元,501室,138.42㎡,120.42㎡,87.00%,27896元/㎡,-,3861364.32元,可售
12幢1单元,502室,125.55㎡,109.22㎡,86.99%,27131元/㎡,-,3406297.05元,可售
12幢1单元,601室,138.42㎡,120.42㎡,87.00%,28146元/㎡,-,3895969.32元,可售
12幢1单元,602室,125.55㎡,109.22㎡,86.99%,27381元/㎡,-,3437684.55元,可售
12幢1单元,701室,138.42㎡,120.42㎡,87.00%,28129元/㎡,-,3893616.18元,可售
12幢1单元,702室,125.55㎡,109.22㎡,86.99%,27360元/㎡,-,3435048元,可售
12幢2单元,102室,116.51㎡,101.36㎡,87.00%,27094元/㎡,-,3156721.94元,可售
12幢2单元,201室,125.55㎡,109.22㎡,86.99%,26331元/㎡,-,3305857.05元,可售
12幢2单元,202室,125.55㎡,109.22㎡,86.99%,26331元/㎡,-,3305857.05元,可售
12幢2单元,301室,125.55㎡,109.22㎡,86.99%,26631元/㎡,-,3343522.05元,可售
12幢2单元,302室,125.55㎡,109.22㎡,86.99%,26631元/㎡,-,3343522.05元,可售
12幢2单元,401室,125.55㎡,109.22㎡,86.99%,26881元/㎡,-,3374909.55元,可售
12幢2单元,402室,125.55㎡,109.22㎡,86.99%,26881元/㎡,-,3374909.55元,可售
12幢2单元,501室,125.55㎡,109.22㎡,86.99%,27131元/㎡,-,3406297.05元,可售
12幢2单元,502室,125.55㎡,109.22㎡,86.99%,27131元/㎡,-,3406297.05元,可售
12幢2单元,601室,125.55㎡,109.22㎡,86.99%,27381元/㎡,-,3437684.55元,可售
12幢2单元,602室,125.55㎡,109.22㎡,86.99%,27381元/㎡,-,3437684.55元,可售
12幢2单元,701室,125.55㎡,109.22㎡,86.99%,27360元/㎡,-,3435048元,可售
12幢2单元,702室,125.55㎡,109.22㎡,86.99%,27360元/㎡,-,3435048元,可售
12幢3单元,102室,138.42㎡,120.42㎡,87.00%,26660元/㎡,-,3690277.2元,可售
12幢3单元,201室,125.55㎡,109.22㎡,86.99%,26331元/㎡,-,3305857.05元,可售
12幢3单元,202室,138.42㎡,120.42㎡,87.00%,26336元/㎡,-,3645429.12元,可售
12幢3单元,301室,125.55㎡,109.22㎡,86.99%,26631元/㎡,-,3343522.05元,可售
12幢3单元,302室,138.42㎡,120.42㎡,87.00%,26636元/㎡,-,3686955.12元,可售
12幢3单元,401室,125.55㎡,109.22㎡,86.99%,26881元/㎡,-,3374909.55元,可售
12幢3单元,402室,138.42㎡,120.42㎡,87.00%,26886元/㎡,-,3721560.12元,可售
